datetime,title
2019-02-27,学籍 | 关于做好2018-2019学年第二学期研究生注册工作通知
2019-02-27,通知 | 复旦大学研究生院关于在校研究生补录父母及监护人信息的通知
2019-02-27,通知 | 关于做好2019年国家留学基金资助出国留学项目选派工作的预通知
2019-02-27,教学 | 关于做好2018-2019学年第二学期教学教务工作安排的通知
2019-02-27,培养 | 复旦大学2019年国家公派留学项目申请材料准备辅导会信息
2019-02-27,通知 | 关于2019年人社部全国博士后管委会博士后创新人才支持计划(“博新计划”) 申请的通知
2019-02-27,通知 | 关于做好2019年元旦节放假教学工作调整安排以及教学楼开放调整安排的通知
2019-02-27,通知 | 复旦大学2019年国家公派研究生项目宣讲会信息
2019-02-27,通知 | 关于开展第十六届“挑战杯”全国大学生课外学术科技作品竞赛复旦大学校内选拔赛的通知
2019-02-27,通知 | 关于2019年春季毕业研究生证件照采集工作的通知
2019-02-27,培养 |  2018博士生国际招生面试交流会信息
2018-10-24,培养 |  关于2019-2020年耶鲁大学福克斯国际奖学金项目的通知
2018-10-24,通知 | 复旦大学2019年硕博研究生招生上海地区宣讲会（第二场）通知
2018-10-24,通知 | 关于做好2018年首届中国国际进口博览会期间教学工作调整安排的通知
2018-10-24,培养 | 复旦大学-巴黎高师班招生通知(2018)
2018-10-24,培养 | 关于组织我校研究生报名参加东莞市名校研究生培养（实践）的通知
2018-10-24,通知 |关于禁止本校各机构和教职员工、在校生举办或参加研究生考试招生辅导活动的通知
2018-10-24,通知 | 关于组织收看2018年全国科学道德和学风建设宣讲教育报告会的通知
2018-10-24,通知 | 关于2018-2019学年第一学期研究生院院长接待日安排的通知
2018-10-24,通知 | 关于2019年上海一流研究生教育项目申报工作的通知
2018-10-24,通知 | 关于做好2018年国庆节放假教学工作调整安排以及教学楼开放调整安排的通知
2018-10-24,通知 | 关于2018年下半年国家四六级考试报名通知
2018-10-24,通知 | 复旦大学关于遴选2019-2022学年度“太古博士学位奖学金”项目候选人的通知（研通字〔2018...
2018-10-24,通知 | 2018年上海市科学道德和学风建设宣讲教育报告会（杨浦大学园区分会场）
2018-10-24,学籍 | 研究生新生基本信息确认操作指南
2018-09-03,培养 | 关于公布《复旦大学研究生学籍管理实施细则》的通知
2018-09-03,培养 | 复旦大学2018级研究生第一外国语（英语）申请免修暂行实施办法
2018-09-03,通知 | 关于做好2018级研究生入学相关工作的通知（研通字〔2018〕33号）
2018-09-03,通知 | 关于做好2018-2019学年第一学期研究生老生注册工作的通知（研通字〔2018〕34号）
2018-09-03,FIST | 2018年复旦大学研究生FIST项目课程选课报名通知
2018-09-03,培养 | 关于做好2018-2019学年第一学期教学教务工作安排的通知
2018-09-03,培养 | 关于2018年中国研究生创新实践系列大赛“华为杯”第十五届中国研究生数学建模竞赛报名参...
2018-09-03,培养 | 复旦大学2018-2019学年校历
2018-09-03,培养 |  2018年复旦大学博士生短期国际访学资助计划项目拟资助学生名单公示
2018-09-03,招生 | 复旦大学2019年度校外研究生招生宣讲会通知
2018-09-03,培养 | 关于做好2018年端午节放假教学工作调整安排以及教学楼开放调整安排的通知
2018-09-03,培养 |  关于开展2018年复旦大学博士生短期国际访学资助计划申报工作的通知 
2018-09-03,通知 | 关于举办2018年研究生暑期学校的通知
2018-09-03,培养 | 关于2018年6月、10月毕业研究生证件照采集工作的通知
2018-05-09,通知 | 关于公布2018年复旦大学研究生FIST项目立项课程名单的通知
2018-05-09,通知 | 复旦大学2018年研究生导师培训会通知
2018-05-09,通知 | 关于统一办理《2018年非上海生源应届普通高校毕业生个人信息表》学习成绩评定盖章事宜的...
2018-05-09,通知 | 关于“五四”青年节研究生演讲比赛决赛地点更改的通知
2018-05-09,培养 | 关于组织2018年上海市研究生创新创业能力培养计划申报工作的通知
2018-05-09,培养 | 关于做好2018年劳动节和青年节放假教学工作调整安排以及教学楼开放调整安排的通知
2018-05-09,培养 | 2018年广州市“菁英计划”留学项目复旦大学宣讲会信息 
2018-05-09,通知 | 关于开展“五四”青年节研究生演讲比赛的通知
2018-05-09,培养 | 复旦大学2018年国家留学基金资助出国留学人员推荐候选人（研究生）第二批名单公示
2018-05-09,FIST | 关于申报2018年研究生FIST课程的通知
2018-05-09,培养 |  关于公布复旦大学2018年国家留学基金资助出国留学项目推荐候选人（研究生）名单的通知
2018-05-09,培养 | 关于组织我校研究生报名参加东莞市名校研究生培养（实践）的通知
2018-05-09,培养 | 关于做好2018年清明节假期教学调整安排的通知
2018-05-09,培养 | 关于2018年上半年全国大学外语四、六级考试报名的通知
2018-03-16,培养 |  关于2018年国家留学基金委资助研究生到国际组织实习项目启动的通知
2018-03-16,培养 |  2018年国家公派留学项目申请材料准备辅导会暨现场答疑
2018-03-16,培养 |  2018年CSC中法欧洲法项目信息
2018-03-16,培养 |  2018-19年匈牙利政府奖学金项目（Eotvos Lorand 大学）信息
2018-03-16,综合 | 关于2018年全国博士后管委会办公室“博士后创新人才支持计划”申报工作的通知
2018-03-16,培养 |  2018年德国汉堡大学暑期班信息
2018-03-16,培养 | 关于做好2017-2018学年第二学期研究生注册工作的通知
2018-03-16,培养 |  2018-2019年耶鲁大学福克斯国际奖学金项目复旦大学拟推荐候选人名单公示
2018-03-16,培养 | 关于做好2017-2018学年第二学期教学教务工作安排的通知
2018-03-16,培养 |  关于做好2018年国家留学基金资助出国留学项目选派工作的通知
2018-03-16,培养 | 2017年研究生创新创业能力培养计划结项校内评审结果公示
2018-03-16,
2018-03-16,培养 |  复旦大学2018年国家公派研究生项目宣讲会信息
2018-03-16,学位 | 第七期研究生导师沙龙邀请函
